면적,층수,구,동,년수,가격,브랜드,등급
45.9,3,노원구,상계동,35,3.7,기타,B
72.62,2,동작구,사당동,21,4.7,기타,A
84.79,23,관악구,신림동,19,8.9,기타,B
39.6,13,강남구,수서동,31,9,기타,A
29.6,9,서초구,방배동,19,2.98,기타,A
84.89,9,강남구,도곡동,8,17.7,기타,A
45.09,3,구로구,구로동,28,1.93,기타,A
84.95,4,송파구,가락동,24,9,기타,A
70.49,14,서초구,서초동,22,7.8,기타,A
18.9,11,구로구,구로동,8,1.5,기타,B
76.79,4,강남구,대치동,45,23.7,기타,C
59.97,2,송파구,가락동,17,12.3,래미안,A
116.29,14,강남구,역삼동,18,28.9,기타,C
59.95,5,동작구,흑석동,12,11.48,기타,A
59.953,5,동작구,흑석동,12,11.48,기타,A
84.98,7,영등포구,신길동,3,12.85,자이,A
84.89,22,동작구,상도동,8,15.3,자이,B
36.16,4,강남구,삼성동,21,4.3,기타,A
84.96,15,양천구,신정동,24,8.1,기타,A
100.31,12,송파구,방이동,36,19.7,기타,C
43.2,8,양천구,신월동,36,4.45,기타,C
84.98,16,양천구,신정동,8,16.5,힐스테이트,C
84.88,14,양천구,신정동,22,16.5,기타,C
102.72,5,양천구,목동,18,20.3,기타,C
84.92,18,영등포구,양평동3가,26,7.29,기타,A
83.02,10,송파구,풍납동,29,12.2,기타,B
84.89,2,용산구,신계동,13,17,기타,B
163.53,34,광진구,자양동,17,28.5,기타,C
125.89,15,광진구,광장동,16,18.3,자이,A
201.4,5,광진구,광장동,26,18,기타,A
59.97,9,강동구,상일동,6,9.8,기타,B
32.01,2,중구,정동,4,4.65,기타,B
49.5,13,강서구,가양동,32,7.8,기타,C
14.82,6,동대문구,답십리동,8,1.2,기타,A
14.82,11,동대문구,답십리동,8,1.2,기타,A
84.77,3,동대문구,장안동,21,8.4,래미안,B
84.81,1,서대문구,남가좌동,19,8.85,래미안,A
59.98,9,서대문구,남가좌동,9,9.5,자이,B
120.95,2,서대문구,북가좌동,12,14,래미안,B
84.96,12,동대문구,전농동,10,12.5,래미안,B
56.83,8,성북구,삼선동2가,15,6.9,힐스테이트,B
39.98,5,동대문구,휘경동,23,3.6,기타,B
84.32,1,은평구,응암동,13,8.25,힐스테이트,A
64.68,4,종로구,명륜1가,21,4.6,기타,B
24.32,13,동대문구,회기동,11,2.55,기타,B
51.78,13,은평구,응암동,2,7.85,힐스테이트,B
84.99,1,은평구,응암동,2,10.6,힐스테이트,B
14.14,2,동대문구,휘경동,3,1.9,기타,B
84.9,14,은평구,응암동,4,9.3,기타,B
84.72,1,성북구,돈암동,30,5.7,기타,A
84.98,19,은평구,응암동,3,11.25,기타,C
143.51,13,성북구,돈암동,19,11.25,기타,A
84.96,12,중랑구,상봉동,28,6.85,기타,B
39.84,5,중랑구,신내동,28,3.85,기타,C
107.05,2,중랑구,묵동,29,7.95,기타,A
60,10,성북구,정릉동,19,5.6,기타,B
38.64,11,노원구,월계동,32,3.125,기타,B
57.93,10,도봉구,창동,25,4.15,기타,A
84.97,1,도봉구,방학동,30,4.8,기타,B
84.97,1,도봉구,방학동,30,4.8,기타,B
84.98,5,강북구,우이동,34,5.15,기타,C
59.95,9,구로구,개봉동,24,4.5,기타,B
59.97,29,금천구,독산동,6,8.58,롯데캐슬,B
59.86,17,금천구,독산동,5,7,기타,B
84.75,11,동작구,사당동,17,8.4,기타,A
84.75,6,동작구,사당동,17,8.8,기타,A
84.75,6,동작구,사당동,17,8.8,기타,A
84.39,9,송파구,문정동,28,11,기타,A
84.87,12,관악구,봉천동,24,9.55,기타,B
164.25,14,서초구,방배동,21,25.5,기타,B
84.75,15,송파구,문정동,36,16,기타,C
84.66,5,동작구,사당동,31,11.3,기타,C
84.98,5,송파구,거여동,3,14.5,롯데캐슬,C
84.98,5,송파구,거여동,3,14.5,롯데캐슬,C
82.3,3,강남구,일원동,40,15.5,기타,A
21,8,서초구,서초동,10,1.88,기타,A
58.59,11,동작구,상도동,32,7,기타,A
84.96,8,강남구,대치동,39,27.15,기타,C
76.8,1,동작구,상도동,30,3.1,기타,A
84.95,7,송파구,가락동,6,20.05,기타,C
116.29,15,강남구,역삼동,18,29.5,기타,C
59.98,2,송파구,오금동,5,8,기타,A
84.97,26,영등포구,신길동,7,14.4,래미안,B
59.98,5,영등포구,신길동,4,11,기타,C
120.69,16,영등포구,신길동,16,13,기타,A
59.99,27,서초구,반포동,14,23,기타,B
84.56,5,구로구,고척동,30,6.03,기타,B
89.83,3,강남구,역삼동,28,6.9,기타,A
84.87,20,구로구,구로동,24,9.85,기타,C
105.89,7,서초구,잠원동,45,28.8,기타,C
59.4,15,영등포구,신길동,24,5.8,기타,A
50.89,9,강남구,역삼동,22,7,기타,C
16.01,20,동작구,노량진동,9,1.9,기타,A
84.99,25,송파구,잠실동,16,22.25,기타,A
29.51,10,송파구,방이동,4,3.8,기타,C
83.06,23,송파구,방이동,36,18.5,기타,B
83.06,23,송파구,방이동,36,18.7,기타,B
100.31,6,송파구,방이동,36,20.5,기타,C
149.09,4,용산구,이촌동,48,14.5,기타,A
109.31,1,강남구,청담동,40,21.7,기타,C
84.98,5,양천구,신정동,8,16.3,힐스테이트,C
82.77,8,영등포구,당산동2가,30,9.6,기타,B
84.5,7,영등포구,당산동4가,36,11,기타,B
15.86,12,강동구,길동,10,1,기타,A
84.75,1,강동구,길동,30,7.5,기타,B
139.54,25,광진구,자양동,17,21,기타,C
59.99,2,강동구,길동,4,9,기타,C
59.89,12,성동구,성수동1가,24,13.1,기타,A
131.48,2,마포구,용강동,21,8.7,기타,A
59.34,10,강서구,화곡동,26,6.8,기타,C
84.65,5,성동구,성수동2가,25,9.5,기타,A
32.74,2,강서구,등촌동,20,2.05,기타,A
84.91,22,마포구,신수동,5,18,기타,C
59.99,3,성동구,금호동2가,12,10.8,래미안,A
59.97,6,성동구,행당동,29,7.8,기타,A
84.68,7,강서구,내발산동,17,9.78,기타,B
59.98,3,성동구,금호동2가,8,12.23,자이,B
85,5,강서구,화곡동,21,9.66,롯데캐슬,B
84.81,5,강동구,암사동,16,13.7,롯데캐슬,C
34.29,4,마포구,서교동,19,3,기타,A
84.24,12,강동구,고덕동,5,15.55,기타,B
34.44,12,강서구,가양동,31,4.9,기타,B
59.91,11,강서구,등촌동,27,5.5,기타,A
84.95,14,중구,신당동,13,14.95,기타,C
41.85,15,강서구,등촌동,30,5.07,기타,B
12.65,7,동대문구,장안동,11,1.14,기타,A
12.65,4,동대문구,장안동,11,1.18,기타,B
12.65,9,동대문구,장안동,11,1.19,기타,B
84.83,13,강동구,강일동,15,8.7,기타,A
39.6,6,강서구,방화동,30,4.52,기타,C
84.95,4,서대문구,남가좌동,6,10.75,기타,C
84.78,15,서대문구,홍제동,30,8.67,기타,B
80.99,3,은평구,응암동,36,5.85,기타,A
59.84,23,동대문구,휘경동,25,5.88,기타,B
84.59,5,성북구,돈암동,25,7,기타,B
59.96,11,성북구,석관동,5,7.8,래미안,B
59.01,9,중랑구,신내동,28,3.7,기타,B
59.94,14,중랑구,묵동,24,5,기타,B
59.94,5,노원구,공릉동,23,6,기타,B
70.56,13,노원구,하계동,36,6.87,기타,B
59.92,10,은평구,진관동,6,7.38,기타,C
36.34,8,도봉구,창동,35,3.35,기타,B
42.93,2,도봉구,쌍문동,36,2.9,기타,C
42.93,6,도봉구,쌍문동,36,3.1,기타,C
84.45,6,도봉구,창동,20,8.2,기타,B
84.63,16,도봉구,쌍문동,28,5.8,기타,B
49.77,8,노원구,상계동,23,3.95,기타,B
59.34,1,금천구,시흥동,20,3.95,기타,B
59.82,8,금천구,독산동,22,5,기타,B
59.6,1,관악구,신림동,21,4.3,기타,B
52.47,1,서초구,우면동,30,10,기타,B
74.97,12,강남구,자곡동,10,14.5,기타,C
84.9,19,금천구,가산동,26,6.95,기타,A
73.19,4,동작구,사당동,21,4.65,기타,A
84.94,12,송파구,장지동,17,12.3,기타,B
106.42,2,서초구,방배동,43,23.5,기타,C
78.99,7,강남구,도곡동,38,22.9,기타,C
36.88,8,구로구,구로동,18,4.05,기타,B
59.98,15,강남구,일원동,6,19.8,래미안,A
84.96,11,구로구,개봉동,23,8.1,기타,B
84.96,11,구로구,개봉동,23,8.1,기타,B
84.52,4,동작구,상도동,30,8.25,기타,A
59.72,2,동작구,동작동,21,8.55,기타,B
84.95,4,동작구,동작동,21,9.7,기타,A
84.61,6,동작구,상도동,12,12.5,힐스테이트,B
84.85,5,강남구,역삼동,21,6.5,기타,A
70.98,12,강남구,역삼동,15,21.5,래미안,C
49.21,30,송파구,가락동,6,13.25,기타,A
59.96,3,송파구,가락동,6,16.4,기타,C
59.97,4,송파구,가락동,17,12.7,래미안,A
64.53,3,서초구,반포동,37,16.5,기타,A
83.4,7,서초구,반포동,30,14.6,기타,A
84.96,8,서초구,반포동,37,23.9,기타,B
59.98,4,영등포구,신길동,3,12,자이,B
84.98,20,영등포구,신길동,3,13.1,자이,A
84.98,14,영등포구,신길동,3,14.05,자이,B
46.97,3,구로구,고척동,48,2.5,기타,B
15.83,18,송파구,석촌동,9,2.7,기타,A
59.98,10,서초구,반포동,15,23.5,자이,A
82.8,4,구로구,신도림동,17,8.45,기타,A
59.67,11,동작구,노량진동,23,8.5,기타,B
113.91,4,양천구,신정동,24,9.9,기타,A
