면적,층수,구,동,년수,가격,브랜드,등급
59.58,8,관악구,봉천동,20,7.3,기타,B
84.89,16,영등포구,대림동,16,7.78,기타,A
59.99,10,관악구,봉천동,19,6.9,기타,B
118.25,11,동작구,사당동,31,12.4,기타,A
118.25,9,동작구,사당동,31,14.1,기타,B
50.82,9,강남구,일원동,32,9.2,기타,A
50.82,9,강남구,일원동,32,9.2,기타,A
33.18,4,강남구,개포동,32,9.7,기타,A
76.23,2,동작구,상도동,23,5.44,기타,A
73.27,3,구로구,궁동,18,3.15,기타,B
79.47,13,서초구,서초동,36,24,기타,C
74.96,8,동작구,상도동,3,13.3,롯데캐슬,C
84.68,9,강남구,역삼동,18,26.3,기타,C
140.54,18,영등포구,대림동,27,11.27,기타,A
15.83,10,송파구,석촌동,9,2.9,기타,A
84.93,2,양천구,신월동,21,7.38,기타,B
76.5,14,송파구,잠실동,46,24.38,기타,C
84.98,15,양천구,신월동,4,10.2,기타,B
84.98,15,양천구,신월동,4,10.2,기타,B
79.46,14,영등포구,문래동3가,36,10.15,기타,B
43.2,4,양천구,신월동,36,4.32,기타,C
82.45,7,송파구,신천동,45,19.58,기타,B
156.58,4,용산구,서빙고동,22,16,기타,A
138.42,4,강남구,신사동,20,16.3,기타,C
84.78,9,용산구,이촌동,30,18.5,기타,B
13.79,10,강서구,화곡동,11,0.94,기타,A
59.75,18,영등포구,당산동4가,24,10.7,기타,C
71.18,6,광진구,자양동,21,6.95,기타,B
125.64,2,송파구,풍납동,18,11.9,힐스테이트,C
95.34,7,양천구,목동,38,19.9,기타,C
51.48,2,마포구,마포동,32,5.1,기타,A
31.37,3,강동구,천호동,20,1.5,기타,A
59.94,10,영등포구,양평동5가,28,8.24,기타,B
14.47,2,강동구,길동,12,0.8,기타,B
58.87,2,강서구,염창동,30,6.73,기타,B
58.87,2,강서구,염창동,30,6.73,기타,B
79.8,2,성동구,응봉동,34,10,기타,A
59.78,19,마포구,염리동,3,15.7,자이,B
89.9,3,중구,만리동2가,7,18.5,자이,C
84.97,14,마포구,망원동,21,7,기타,A
59.98,3,강서구,내발산동,19,10.3,힐스테이트,A
84.96,1,중구,신당동,25,9.7,기타,A
59.7,12,서대문구,대현동,25,7.65,기타,C
22.79,14,동대문구,장안동,5,2.8,기타,B
39.32,11,서대문구,연희동,10,3.17,기타,C
84.97,12,강서구,마곡동,31,7.35,기타,A
84.97,11,강서구,마곡동,31,8.35,기타,A
112.78,14,동대문구,장안동,21,9,기타,A
114.51,9,서대문구,현저동,26,12.2,기타,B
59.91,10,강서구,방화동,26,6.35,기타,B
48.54,2,종로구,익선동,21,4.2,기타,B
84.9,1,서대문구,남가좌동,24,8.4,래미안,A
84.9,1,서대문구,남가좌동,24,8.4,래미안,A
84.93,14,강서구,방화동,26,5.6,기타,A
84.99,7,중랑구,면목동,5,8,기타,A
59.19,11,성북구,보문동6가,7,8.7,자이,B
113.02,8,성북구,동선동1가,14,8.45,기타,B
59.99,6,은평구,응암동,2,9.24,힐스테이트,B
84.96,19,중랑구,상봉동,27,6.4,기타,A
59.9,8,성북구,정릉동,25,5.6,기타,C
84.92,14,성북구,정릉동,20,7.9,힐스테이트,A
133.74,25,성북구,하월곡동,13,13.1,기타,B
84.97,8,강북구,미아동,14,7.8,래미안,A
59.77,19,성북구,정릉동,18,5.95,기타,B
59.77,19,성북구,정릉동,18,5.95,기타,B
59.92,5,성북구,장위동,3,8.3,래미안,B
84.98,3,성북구,장위동,18,7.2,기타,B
49.6,7,노원구,공릉동,25,4.6,기타,B
59.34,1,노원구,공릉동,25,5.35,기타,B
84.93,11,강북구,번동,21,5.95,기타,A
81.28,8,노원구,공릉동,22,7.45,기타,B
59.94,13,노원구,월계동,29,5.2,기타,A
59.94,13,노원구,월계동,29,5.2,기타,B
36.16,4,도봉구,창동,34,3.8,기타,C
81.16,2,노원구,상계동,21,3.7,기타,A
85,3,도봉구,도봉동,20,5.5,기타,B
84.95,2,강남구,세곡동,13,11,기타,A
84.95,2,강남구,세곡동,13,11,기타,A
84.95,2,강남구,세곡동,13,11,기타,A
119.96,12,관악구,신림동,21,7.8,기타,A
73.03,1,관악구,신림동,20,4.1,기타,B
59.96,10,동작구,사당동,15,8.3,기타,B
59.76,6,강남구,일원동,30,13.75,기타,C
136.33,6,송파구,문정동,36,20.8,기타,C
53.46,5,강남구,개포동,41,17.5,기타,B
53.46,5,강남구,개포동,41,17.5,기타,B
46.75,3,동작구,사당동,31,7.2,기타,B
46.75,3,동작구,사당동,31,7.2,기타,B
84.46,2,동작구,사당동,31,11,기타,C
59.73,1,송파구,거여동,27,8.25,기타,B
84.92,10,구로구,개봉동,23,7.62,기타,B
49.48,6,동작구,사당동,3,8.87,롯데캐슬,B
49.48,6,동작구,사당동,3,8.87,롯데캐슬,B
59.94,24,구로구,개봉동,23,6.7,기타,B
26.05,9,서초구,서초동,2,4.5,기타,A
55.46,8,동작구,신대방동,21,7.6,기타,C
59.95,16,영등포구,신길동,7,11.3,래미안,B
84.97,20,서초구,반포동,6,27.05,기타,C
64.99,10,송파구,송파동,12,13.85,래미안,B
43.92,18,영등포구,대림동,27,5.75,기타,B
84.83,19,영등포구,신길동,27,8.2,기타,A
84.99,24,구로구,신도림동,24,11.95,기타,B
111.08,8,강남구,논현동,22,13.35,기타,A
73.08,1,강남구,논현동,23,24,기타,C
27.68,9,송파구,잠실동,16,9.2,기타,A
84.8,20,송파구,잠실동,16,22.3,기타,A
59.79,10,동작구,본동,24,9.45,기타,B
76.5,3,송파구,잠실동,46,23.18,기타,C
84.99,2,양천구,신정동,20,12.15,기타,B
71.2,7,송파구,신천동,45,16.6,기타,A
54.94,18,양천구,신정동,37,12.4,기타,C
84.88,7,양천구,신정동,22,16,기타,C
95.5,3,영등포구,여의도동,49,19.5,기타,B
95.5,3,영등포구,여의도동,49,19.5,기타,C
84.88,14,용산구,이촌동,27,17.8,기타,A
49.59,18,강남구,청담동,13,20,자이,B
82.52,4,양천구,신월동,19,6.5,기타,A
64.98,13,양천구,목동,38,15.2,기타,C
84.89,11,강동구,길동,20,5.9,기타,A
84.86,25,광진구,구의동,28,14.2,기타,B
59.89,19,마포구,신공덕동,15,13.1,기타,C
59.99,2,강서구,화곡동,9,9.4,힐스테이트,C
58.86,6,강서구,염창동,29,4.5,기타,A
59.84,3,강서구,내발산동,16,7.7,기타,B
58.68,1,강동구,암사동,24,5.5,기타,A
59.99,19,강동구,암사동,16,10.95,롯데캐슬,B
21.96,19,서대문구,대현동,10,2.75,자이,A
84.05,6,강동구,고덕동,5,16.3,기타,C
78.6,7,강서구,염창동,26,6.7,기타,A
84.42,4,성동구,하왕십리동,20,10,기타,C
59.76,6,강서구,가양동,25,7.9,기타,B
71.74,4,마포구,망원동,22,6.7,기타,B
58.14,4,강서구,등촌동,29,7.2,기타,C
84.87,9,성동구,행당동,27,9.3,기타,A
84.91,14,동대문구,답십리동,17,10,기타,B
84.83,1,강동구,강일동,15,7.9,기타,B
84.93,7,강서구,방화동,20,7.78,기타,B
84.98,10,서대문구,남가좌동,9,11.8,자이,B
59.97,6,서대문구,북가좌동,12,8.75,래미안,B
84.29,20,동대문구,휘경동,23,7.4,기타,A
59.63,5,은평구,응암동,13,6.9,힐스테이트,A
84.99,18,서대문구,홍제동,22,7.3,기타,A
84.87,12,성북구,돈암동,26,8.5,기타,B
84.96,4,서대문구,홍은동,27,6.62,기타,A
84.83,4,은평구,신사동,30,5.58,기타,A
39.84,14,중랑구,신내동,28,3.46,기타,B
85,2,성북구,정릉동,18,6.65,기타,B
139.08,7,노원구,월계동,22,9.3,기타,A
59.88,1,성북구,정릉동,19,4.43,기타,B
134.77,11,은평구,진관동,15,12.9,기타,B
84.79,10,은평구,진관동,16,8.7,롯데캐슬,B
84.79,10,은평구,진관동,16,8.7,롯데캐슬,B
58.01,12,도봉구,창동,34,6.17,기타,B
59.96,10,도봉구,창동,28,6,기타,B
35.1,6,도봉구,쌍문동,36,2.73,기타,C
43.35,6,도봉구,방학동,38,3,기타,C
84.98,19,도봉구,방학동,21,6.3,기타,C
84.87,2,도봉구,방학동,20,5.6,기타,B
59.39,2,노원구,상계동,36,4.78,기타,B
59.39,2,노원구,상계동,36,4.78,기타,B
84.97,19,서초구,우면동,12,14,기타,B
59.96,4,강남구,자곡동,10,11.5,기타,B
84.98,10,구로구,항동,4,7,기타,A
84.75,5,동작구,사당동,17,8.945,기타,B
84.93,2,송파구,장지동,16,11.5,기타,A
84.93,2,송파구,장지동,16,11.5,기타,A
59.92,17,관악구,봉천동,24,7.5,기타,B
84.91,7,동작구,사당동,34,10.15,기타,B
84.96,9,송파구,문정동,20,14.55,래미안,A
84.75,10,송파구,문정동,36,16.95,기타,C
136.33,5,송파구,문정동,36,20.5,기타,C
83.21,12,강남구,개포동,41,25.7,기타,C
51.84,12,구로구,구로동,26,5.2,기타,B
59.25,7,동작구,사당동,31,9.2,기타,C
84.96,20,동작구,사당동,21,11,롯데캐슬,A
107.6,1,강남구,일원동,40,18.9,기타,A
84.99,8,구로구,개봉동,23,7.7,기타,B
45.72,9,서초구,서초동,21,4.84,기타,A
84.52,5,동작구,상도동,30,8.05,기타,A
118.208,13,동작구,상도동,12,15.65,힐스테이트,B
118.21,13,동작구,상도동,12,15.65,힐스테이트,B
59.5,16,구로구,구로동,21,5.15,기타,B
84.85,4,강남구,대치동,22,15.75,기타,B
84.98,27,영등포구,신길동,4,13.9,기타,C
84.98,13,영등포구,신길동,3,13.1,자이,A
59.83,18,영등포구,대림동,27,8.05,기타,C
59.95,8,영등포구,신길동,2,10.8,자이,A
84.98,8,영등포구,문래동4가,23,7.7,기타,A
83.06,24,송파구,방이동,36,18.1,기타,B
50.67,2,양천구,신월동,36,5,기타,C
59.95,10,양천구,신월동,10,7.9,롯데캐슬,B
54.94,1,양천구,신정동,37,12.3,기타,C
84.88,14,용산구,이촌동,27,17.9,기타,A
49.99,6,영등포구,당산동3가,10,7.3,기타,B
84.85,2,송파구,풍납동,30,10.2,기타,B
108.15,15,영등포구,당산동,22,15.9,래미안,C
24.6,10,강서구,화곡동,6,2,기타,A
84.88,6,강동구,천호동,25,9,기타,B
84.88,6,강동구,천호동,25,9,기타,B
84.96,9,송파구,풍납동,24,10.8,기타,B
82.88,15,강서구,화곡동,11,6.55,기타,A
31.37,3,강동구,천호동,20,1.5,기타,A
65.17,4,용산구,한남동,8,13.45,기타,C
59.4,9,성동구,성수동1가,30,14,기타,B
84.82,18,성동구,옥수동,25,14.9,기타,A
81.13,9,광진구,화양동,25,6.25,기타,A
84.96,1,마포구,신수동,20,9.5,기타,A
84.88,2,중구,신당동,22,11.5,기타,A
84.45,12,성동구,금호동1가,23,11.6,래미안,A
59.99,13,성동구,금호동2가,12,12,래미안,B
59.97,7,성동구,행당동,6,14.1,자이,B
68.11,5,마포구,서교동,19,6.93,기타,A
84.24,2,강동구,고덕동,5,15.82,기타,C
84.96,7,중구,신당동,25,10.4,기타,B
37.67,9,강서구,등촌동,29,5,기타,B
58.14,5,강서구,등촌동,29,7.35,기타,C
18.08,4,중구,정동,4,2.9,기타,B
84.87,16,성동구,행당동,27,9.8,기타,A
14.82,8,동대문구,답십리동,8,1.2,기타,A
133.72,16,동대문구,장안동,21,13.8,기타,A
84.94,13,마포구,중동,24,8.3,기타,A
59.92,10,강서구,마곡동,25,4.8,기타,A
59.22,11,동대문구,답십리동,32,5.85,기타,B
59.98,7,서대문구,남가좌동,9,9.1,자이,C
84.9,13,마포구,상암동,19,10.05,기타,A
99.55,3,은평구,증산동,20,5.23,기타,A
24.32,12,동대문구,회기동,11,2.3,기타,B
32.38,9,은평구,응암동,5,2.7,기타,A
15.54,5,성북구,하월곡동,11,1.145,기타,B
84.93,20,성북구,길음동,5,8,롯데캐슬,A
59.9,10,성북구,길음동,5,9.3,래미안,B
84.97,17,성북구,길음동,19,8,기타,A
84.6,10,노원구,공릉동,29,6.29,기타,B
36.16,3,도봉구,창동,35,3.14,기타,B
114.49,5,노원구,중계동,25,8.8,기타,A
84.53,5,도봉구,쌍문동,37,4.5,기타,B
59.34,18,노원구,중계동,28,5.6,기타,A
45.55,12,노원구,상계동,36,4.98,기타,B
59.99,18,노원구,상계동,4,9,기타,A
84.97,11,노원구,상계동,4,12.1,기타,C
84.92,12,노원구,상계동,36,5.93,기타,A
41.3,11,노원구,상계동,36,4.05,기타,A
44.33,2,노원구,상계동,36,3.87,기타,B
84.98,6,도봉구,방학동,21,6.65,기타,B
59.34,14,금천구,시흥동,20,4.4,기타,B
59.94,19,금천구,독산동,8,9.16,롯데캐슬,C
84.97,12,관악구,신림동,16,6.52,기타,A
84.96,10,구로구,구로동,18,6.9,기타,A
59.58,10,관악구,봉천동,20,7.7,기타,C
84.96,8,동작구,사당동,11,12.7,기타,C
59.25,1,동작구,사당동,31,8.4,기타,B
84.06,2,강남구,일원동,37,20.5,기타,C
84.17,9,서초구,서초동,6,25,래미안,C
40.26,10,서초구,서초동,21,4.1,기타,A
49.86,5,강남구,개포동,32,13.5,기타,A
49.86,11,강남구,개포동,32,13.7,기타,A
79.98,2,구로구,구로동,37,5.92,기타,B
84.89,4,구로구,오류동,26,5.8,기타,C
59.96,10,송파구,가락동,6,16.9,기타,C
84.91,7,강남구,역삼동,18,23.3,기타,C
79.47,14,서초구,서초동,36,23.7,기타,C
111.32,20,서초구,서초동,21,25,래미안,C
59.61,25,강남구,역삼동,19,19.75,기타,C
71.49,15,구로구,개봉동,10,7.57,기타,C
84.96,8,양천구,신정동,24,8.65,기타,B
59.93,10,영등포구,도림동,24,7.8,기타,C
63.925,4,동작구,대방동,23,3.9,기타,A
63.93,4,동작구,대방동,23,3.9,기타,A
84.98,19,강남구,삼성동,6,30,기타,C
84.52,10,서초구,잠원동,32,22.8,기타,A
83.06,10,송파구,방이동,36,18.25,기타,C
43.2,3,양천구,신월동,36,4.3,기타,C
59.49,3,양천구,신월동,36,6.1,기타,C
84.98,17,양천구,신월동,10,8.7,롯데캐슬,C
59.95,4,영등포구,문래동6가,27,7.4,기타,B
84.04,18,양천구,신월동,12,8.88,기타,B
176.77,11,양천구,신정동,20,19,기타,A
59.91,15,영등포구,영등포동7가,7,12,기타,B
16.66,4,강동구,성내동,4,2.8,기타,B
16.66,4,강동구,성내동,4,2.8,기타,B
81.54,4,강서구,화곡동,18,3,기타,A
28.39,11,강서구,화곡동,8,2,기타,A
84.38,9,송파구,풍납동,29,10.2,기타,A
89.19,11,성동구,옥수동,42,17.48,기타,C
84.56,4,강동구,길동,18,6.6,기타,A
156.91,14,광진구,광장동,35,21.5,기타,B
104.41,3,성동구,옥수동,34,14.8,기타,A
59.25,2,성동구,옥수동,12,13.7,래미안,A
84.98,5,광진구,구의동,6,13.75,래미안,A
59.94,8,마포구,창전동,26,8.7,래미안,A
59.11,25,강동구,명일동,5,11.6,래미안,A
59.97,11,성동구,행당동,6,14.48,자이,C
84.94,18,강동구,상일동,4,15,기타,C
114.28,22,마포구,아현동,10,21.8,래미안,B
59.98,9,강서구,내발산동,19,9.47,힐스테이트,B
84.98,18,강서구,내발산동,19,12.4,힐스테이트,B
59.99,10,강동구,고덕동,13,11.5,기타,B
84.91,4,동대문구,답십리동,17,9.8,기타,B
57.78,17,서대문구,천연동,18,8,기타,B
84.97,12,강서구,마곡동,31,7.35,기타,A
59.43,14,마포구,성산동,38,10.8,기타,C
84.95,6,서대문구,북가좌동,12,10.75,래미안,B
59.92,10,강서구,방화동,25,4.8,기타,B
59.99,5,동대문구,용두동,15,8.85,기타,C
40.02,2,강서구,방화동,36,3.45,기타,B
40.02,2,강서구,방화동,36,3.45,기타,B
47.22,2,강서구,방화동,36,4.55,기타,B
84.99,2,동대문구,답십리동,5,11.1,래미안,B
52.23,1,서대문구,연희동,43,3.9,기타,B
84.96,4,중랑구,면목동,18,7,기타,A
186.47,5,서대문구,연희동,19,16.5,기타,A
59.79,1,서대문구,남가좌동,5,9,자이,B
30.11,24,동대문구,용두동,8,4,기타,A
59.59,17,서대문구,남가좌동,24,7.27,래미안,A
84.75,6,마포구,상암동,19,10.9,기타,B
64.66,11,종로구,창신동,31,6,기타,B
84.71,3,성북구,삼선동2가,15,8,힐스테이트,A
84.03,1,은평구,응암동,20,5.5,기타,A
59.94,6,서대문구,홍제동,22,5.8,기타,B
59.99,21,은평구,응암동,2,9.5,힐스테이트,B
68.13,16,성북구,돈암동,26,6.3,기타,B
132.96,20,성북구,돈암동,26,8.5,기타,A
59.93,4,은평구,응암동,4,7.88,기타,C
84.78,14,성북구,하월곡동,26,7.05,기타,B
84.78,21,성북구,하월곡동,26,7.1,기타,B
28.24,9,은평구,대조동,10,1.45,기타,A
84.9,10,성북구,석관동,26,7.63,기타,C
84.99,15,중랑구,신내동,29,6.9,기타,A
84.71,2,강북구,미아동,21,6.7,기타,B
75.78,3,은평구,불광동,22,4.2,기타,A
84.97,15,성북구,장위동,3,8.9,래미안,A
22.67,7,은평구,불광동,3,2.98,기타,B
59.67,11,강북구,미아동,20,4.95,기타,B
51.48,13,노원구,월계동,38,6.4,기타,C
84.9,10,노원구,하계동,27,8.55,기타,B
31.98,4,노원구,상계동,37,4.6,기타,C
84.97,11,도봉구,창동,27,8.4,기타,B
58.77,3,도봉구,방학동,36,4.18,기타,C
74.11,8,도봉구,방학동,36,5.07,기타,B
45.9,12,노원구,상계동,35,3.7,기타,B
84.97,10,금천구,시흥동,20,5.85,기타,B
59.82,16,금천구,독산동,22,5,기타,B
54.12,14,송파구,장지동,11,9.2,기타,A
59.96,5,관악구,봉천동,5,9.7,기타,C
59.93,9,송파구,장지동,17,10.9,기타,B
20.45,8,관악구,봉천동,11,1.81,기타,A
84.93,8,송파구,장지동,16,12.4,기타,B
59.38,5,관악구,봉천동,26,5.1,기타,B
84.75,6,동작구,사당동,17,8.9,기타,B
121.32,10,동작구,사당동,17,11.2,기타,A
63.02,1,동작구,사당동,21,6.25,기타,A
20.55,2,서초구,서초동,11,1.9,기타,A
84.98,5,구로구,개봉동,19,6,기타,A
81.42,4,관악구,신림동,21,6.9,기타,B
84.97,9,강남구,수서동,27,17.85,기타,C
78.99,58,강남구,도곡동,22,24,기타,C
84.98,8,동작구,사당동,6,14.8,래미안,C
59.99,19,관악구,봉천동,19,6.72,기타,B
84.99,4,관악구,봉천동,19,7.75,기타,B
59.99,3,강남구,일원동,6,18.7,래미안,A
59.98,5,동작구,사당동,3,8.77,롯데캐슬,A
63.73,3,동작구,상도동,18,5.8,기타,A
43.79,12,구로구,구로동,37,3.98,기타,B
55.46,4,동작구,신대방동,21,7.46,기타,C
84.57,7,동작구,신대방동,28,8.9,기타,B
84.57,7,동작구,신대방동,28,8.9,기타,B
76.56,1,서초구,반포동,22,7.9,기타,A
25.32,20,송파구,가락동,20,1.845,기타,A
84.57,1,구로구,개봉동,25,7.5,기타,B
84.57,25,구로구,개봉동,25,7.5,기타,B
84.78,12,동작구,상도동,12,12.5,힐스테이트,B
59.92,9,송파구,가락동,27,10.5,기타,A
84.69,11,송파구,가락동,27,13.8,기타,A
16.71,19,구로구,구로동,2,1.6,기타,A
84.95,9,동작구,상도동,11,13.03,힐스테이트,B
59.96,9,구로구,온수동,14,6.4,힐스테이트,B
84.98,12,송파구,가락동,6,19.8,기타,C
84.91,2,강남구,역삼동,18,23.3,기타,C
50.72,13,송파구,오금동,36,9,기타,B
28.25,1,강남구,역삼동,18,6.9,기타,A
82.35,13,서초구,반포동,33,16.55,기타,B
161.48,7,동작구,상도동,17,15.3,기타,A
59.96,17,서초구,반포동,15,26.4,래미안,B
59.91,7,송파구,송파동,27,9.3,기타,A
59.78,4,동작구,상도동,6,11.8,기타,C
43.92,21,영등포구,대림동,27,5.5,기타,B
59.96,33,서초구,반포동,1,29.1,래미안,C
15.83,11,송파구,석촌동,9,2.77,기타,A
59.96,33,서초구,반포동,1,29.1,래미안,C
59.85,6,영등포구,도림동,26,6.25,기타,C
59.89,7,동작구,본동,31,8,기타,C
84.97,12,송파구,잠실동,17,20.4,기타,A
79.78,14,영등포구,영등포동,22,10.25,기타,B
84.84,7,영등포구,영등포동,22,10.3,기타,B
59.96,22,송파구,잠실동,16,19,기타,A
84.8,8,송파구,잠실동,16,22.8,기타,B
76.5,4,송파구,잠실동,46,23.58,기타,C
71.2,3,송파구,신천동,45,17.25,기타,B
84.99,5,양천구,신정동,32,9.47,기타,A
59.95,3,영등포구,문래동6가,27,7.6,기타,B
84.77,14,양천구,신정동,27,13.25,기타,B
59.64,28,송파구,신천동,16,17.4,기타,A
84.9,24,송파구,신천동,16,20.8,기타,B
84.96,11,용산구,이촌동,26,20.3,기타,C
59.87,5,양천구,목동,27,9.08,기타,A
84.8,10,영등포구,영등포동7가,4,12.4,기타,B
84.65,28,영등포구,영등포동7가,7,15,기타,B
49.99,11,영등포구,당산동3가,10,7.35,기타,B
84.82,5,강동구,성내동,18,6.8,기타,A
84.94,1,강동구,둔촌동,28,8.1,기타,A
63.87,7,강남구,압구정동,47,29.75,기타,C
76.56,6,용산구,원효로4가,53,9.25,기타,B
123.39,3,광진구,자양동,20,11,기타,A
59.98,11,강동구,둔촌동,14,9.75,기타,B
130.89,6,광진구,구의동,20,13,기타,A
79.75,6,광진구,자양동,36,10.5,기타,A
114.94,14,양천구,목동,24,12,기타,A
84.97,8,강동구,천호동,7,12.9,래미안,C
163.53,7,광진구,자양동,17,23.5,기타,C
59.94,6,용산구,도원동,23,10.38,래미안,B
84.88,8,광진구,구의동,28,14.4,기타,C
60,3,강동구,천호동,26,5.5,기타,B
84.97,14,강동구,천호동,27,9.1,기타,B
84.86,7,성동구,옥수동,26,17,기타,B
59.94,10,영등포구,양평동5가,28,8.3,기타,B
123.44,11,마포구,용강동,8,24,기타,C
84.77,17,마포구,대흥동,25,13.85,기타,B
59.48,14,마포구,신공덕동,24,9.5,래미안,C
59.77,4,성동구,옥수동,8,14.1,기타,B
84.99,14,마포구,상수동,10,16.5,래미안,B
84.88,14,중구,신당동,22,12.55,기타,B
59.79,12,강동구,명일동,25,6.95,기타,A
84.92,16,강동구,상일동,5,12.5,롯데캐슬,A
59.94,1,마포구,창전동,26,8.5,래미안,A
59.97,13,강동구,상일동,5,10.7,기타,B
59.11,14,강동구,명일동,5,11.6,래미안,A
84.97,8,성동구,금호동2가,12,13.95,자이,A
59.98,8,강동구,암사동,17,9.94,기타,C
34.64,4,마포구,노고산동,22,2.63,기타,B
59.94,9,중구,만리동2가,7,13,자이,B
59.98,7,강동구,상일동,4,11.7,기타,B
84.96,2,중구,만리동1가,12,13.3,기타,B
59.98,9,강서구,내발산동,19,10.35,힐스테이트,C
84.98,11,강동구,암사동,16,12.5,롯데캐슬,B
84.96,6,마포구,서교동,19,8.5,기타,A
59.96,8,성동구,행당동,24,9.22,기타,B
56.4,8,동대문구,장안동,8,4.1,기타,A
29.46,24,중구,인현동2가,1,4.5,기타,B
34.44,4,강서구,가양동,32,4.9,기타,B
34.44,1,강서구,가양동,32,4.95,기타,B
59.98,2,서대문구,냉천동,13,9.45,기타,B
15.97,18,중구,황학동,10,1.64,기타,B
59.96,12,동대문구,답십리동,24,6.77,기타,B
84.87,22,서대문구,현저동,26,11.5,기타,B
50.03,10,마포구,성산동,38,8.9,기타,C
59.97,3,중랑구,면목동,4,8,기타,C
58.59,10,동대문구,용두동,30,6.65,기타,B
84.63,2,동대문구,용두동,30,7.4,기타,A
92.56,3,서대문구,연희동,21,5.45,기타,A
64.85,17,동대문구,장안동,17,8.05,래미안,A
59.93,16,동대문구,장안동,17,7.75,힐스테이트,B
59.93,1,서대문구,남가좌동,24,6.9,래미안,B
84.78,6,서대문구,홍제동,30,8.4,기타,B
59.93,14,서대문구,홍제동,24,6.95,기타,B
59.63,10,은평구,응암동,13,7.2,힐스테이트,A
59.63,10,은평구,응암동,13,7.2,힐스테이트,A
59.84,20,동대문구,휘경동,25,5.85,기타,B
15.42,16,성북구,동소문동5가,6,2.5,기타,B
59.85,22,은평구,응암동,4,8.05,기타,B
84.78,5,서대문구,홍은동,27,6.6,기타,B
84.82,17,성북구,돈암동,18,7.2,기타,A
143.13,9,성북구,돈암동,11,11,기타,A
84.59,5,성북구,돈암동,25,7.1,기타,B
59.37,5,성북구,정릉동,15,6.45,기타,C
84.98,18,성북구,돈암동,19,7.7,기타,B
114.98,11,성북구,종암동,20,9.4,래미안,A
84.72,22,성북구,종암동,25,7.1,기타,A
84.56,7,동대문구,이문동,24,7.35,기타,B
114.6,11,동대문구,이문동,24,7.9,기타,A
114.99,19,성북구,종암동,20,10,기타,A
68.12,5,중랑구,상봉동,28,5.58,기타,B
84.91,12,중랑구,신내동,30,6.4,기타,A
59.98,12,성북구,석관동,5,8.47,래미안,B
59.37,3,성북구,길음동,17,8.55,래미안,B
84.94,8,성북구,길음동,14,10.7,래미안,B
59.99,3,은평구,불광동,14,6.95,래미안,B
84.97,15,성북구,길음동,19,7.85,기타,A
84.97,11,성북구,길음동,19,8.6,기타,B
134.97,12,성북구,석관동,26,9.2,기타,B
39.84,2,중랑구,묵동,28,3.49,기타,B
59.76,4,중랑구,묵동,28,5.05,기타,C
59.92,15,은평구,갈현동,26,4,기타,B
59.95,10,노원구,월계동,24,6.5,기타,B
83.54,9,중랑구,묵동,20,8,기타,B
84.83,2,노원구,공릉동,24,6.8,기타,B
59.22,13,노원구,월계동,38,7.1,기타,C
31.32,6,노원구,공릉동,23,3,기타,B
59.94,6,노원구,공릉동,23,6.67,기타,C
84.99,12,노원구,공릉동,23,7.8,기타,B
84.99,17,노원구,공릉동,23,7.9,기타,B
39.6,7,노원구,공릉동,30,3.66,기타,B
39.6,1,노원구,월계동,27,2.9,기타,B
84.99,3,강북구,번동,15,6.94,기타,B
84.82,10,은평구,진관동,9,7.8,기타,B
84.6,3,노원구,하계동,27,7.6,기타,B
59.99,9,도봉구,쌍문동,22,6.1,래미안,C
58.01,1,도봉구,창동,34,5.1,기타,B
59.75,8,노원구,중계동,28,6.69,기타,B
44.52,12,노원구,중계동,32,4.6,기타,B
84.98,9,도봉구,쌍문동,35,4.8,기타,A
59.39,13,노원구,중계동,27,4.75,기타,A
93.13,13,노원구,상계동,36,8.4,기타,B
79.07,4,노원구,상계동,36,7.5,기타,B
61.52,10,노원구,상계동,36,6.1,기타,B
84.94,8,도봉구,도봉동,29,6.05,기타,B
76.72,6,구로구,항동,15,3.37,기타,A
36.88,10,구로구,구로동,18,4.3,기타,B
60,2,동작구,사당동,25,7.85,자이,A
164.2,55,강남구,도곡동,21,28.5,기타,A
80.87,4,강남구,역삼동,19,23,래미안,C
30.03,5,강남구,역삼동,22,3.15,기타,A
59.68,11,구로구,구로동,25,7.2,기타,C
84.39,8,영등포구,신길동,23,8,래미안,A
59.9,16,구로구,신도림동,23,8.79,기타,B
84.94,3,동작구,노량진동,27,9.25,기타,B
84.84,11,동작구,본동,20,9.3,기타,A
59.9,15,동작구,본동,13,13.1,래미안,B
84.66,1,양천구,신월동,21,4.5,기타,A
84.7,6,광진구,자양동,23,12.8,기타,B
114.99,3,용산구,도원동,23,14.5,래미안,A
59.94,6,영등포구,양평동5가,28,7.97,기타,B
83.96,17,광진구,광장동,27,12.8,기타,A
59.79,8,광진구,구의동,3,8.5,자이,A
114.89,2,성동구,금호동4가,6,20.4,힐스테이트,B
59.97,3,마포구,공덕동,20,10.9,래미안,A
59.98,17,강동구,암사동,17,9.9,기타,B
57.63,13,중구,신당동,25,9,기타,B
84.9,22,성동구,행당동,6,16,자이,B
84.93,15,강동구,상일동,4,15.1,기타,C
59.97,3,마포구,아현동,10,14.1,래미안,B
84.93,18,서대문구,북아현동,6,15.5,기타,C
68.11,5,성동구,하왕십리동,8,10.3,기타,A
56.2,4,서대문구,충정로3가,55,4.29,기타,B
