Date No.,Nvidia,Intel
321,17.42,52.16
322,17.32,52.16
323,17.39,52.51
324,17.79,52.94
325,17.98,53.25
326,17.75,53.07
327,17.78,52.36
328,18.62,52.33
329,18.6,50.94
330,18.39,51.13
331,18.85,51.13
332,19.02,50.57
333,19.17,51.31
334,18.99,51.16
335,19.95,52.6
336,19.99,51.93
337,19.96,51.37
338,20.17,51.26
339,20.45,51.94
340,20.66,51.33
341,20.33,51.21
342,19.86,50.69
343,20.01,51.24
344,20.47,51.91
345,20.21,52.04
346,19.8,51.72
347,18.93,51.07
348,18.13,50.3
349,18.74,50
350,18.58,50.55
351,19.37,51.46
352,19.56,51.21
353,19.52,48.5
354,19.26,49.7
355,19.17,48.67
356,19.46,48.57
357,19.62,49.14
358,19.46,49.16
359,19.71,49.12
360,19.78,49.47
361,20.23,49.32
362,20.6,49.64
363,20.33,49.66
364,20.26,49.78
365,19.9,49.68
366,19.66,49.87
367,19.87,49.31
368,20.15,49.27
369,19.91,49.25
370,19.42,48.53
371,19,48.07
372,19.76,48.3
373,20.78,47.9
374,21.91,49.03
375,21.75,49.56
376,22.17,49.56
377,22.02,48.94
378,22.59,49.64
379,22.64,49.68
380,22.35,49.79
381,22.4,49.43
382,22.36,49.49
383,22.8,49.29
384,22.62,49.41
385,22.3,49.34
386,22.14,49.18
387,22.44,49.59
388,22.11,50.65
389,22.2,50.22
390,22.3,50.77
391,22.2,50.5
392,21.86,49.98
393,21.08,48.8
394,21.21,48.7
395,21.9,49.28
396,22.44,49.76
397,22.04,49.94
398,21.62,50.35
399,20.66,49.74
400,20.48,49.27
401,20.68,49.07
402,20.71,49.61
403,19.7,49.25
404,20.41,49.69
405,20.66,49.72
406,21.04,49.9
407,20.79,49.56
408,20.66,49.22
409,20.63,48.05
410,20.9,48.13
411,21.71,49.65
412,21.82,50.16
413,22.18,50.17
414,22.25,50.85
415,22.06,51
416,22.65,51.58
417,22.69,45.56
418,23.12,45.51
419,24.67,44.47
420,24.41,44.11
421,24.9,44.28
422,25.52,45.13
423,25.78,45.64
424,26.35,45.92
425,26.55,46.41
426,29.75,46.66
427,29.7,47.23
428,30.75,47.81
429,30.6,47.49
430,29.41,47.08
431,30.34,46.86
432,30.34,46.66
433,29.97,46.67
434,30.15,46.94
435,29.21,46.59
436,31.62,46.08
437,32.93,45.93
438,31.9,46.22
439,31.69,45.54
440,32.62,46.15
441,31.45,45.24
442,33.32,46.37
443,32.62,45.63
444,31.38,45.07
445,32.07,45.91
446,30.64,45.68
447,29.99,47.29
448,32.37,48.76
449,31.77,48
450,30.44,46.82
451,30.15,46.92
452,28.11,46.37
453,28.29,46.1
454,30.41,46.99
455,28.34,47.14
456,27.75,46.95
457,27.67,46
458,29.03,47.09
459,29.35,47.27
460,29.59,47.59
461,30.89,48.17
462,30.27,48.01
463,29.95,48.07
464,29.54,47.99
465,29.36,47.76
466,30.07,49.35
467,29.24,49.29
468,27.56,49.96
469,28.13,50.09
470,27.2,49.56
471,27.35,51.21
472,27.77,51.85
473,27.95,51.7
474,26.53,50.96
475,26.9,51.66
476,25.86,50.79
477,25.03,49.73
478,24.11,48.27
479,23.34,48.27
480,23.33,48.17
481,22.29,47.3
482,22.73,47.94
483,21.91,44.56
484,22.8,44.27
485,24.45,45.28
486,24.6,45.4
487,25.2,45.92
488,23.91,44.78
489,24.28,44.87
490,24.69,45.03
491,25.07,45.61
492,26.66,46.64
493,25.78,45.66
494,23.91,44.51
495,24.23,44.47
496,26.45,45.27
497,26.47,45.07
498,24.47,44.46
499,23.6,42.09
500,23.35,41.76
501,22.35,41.73
502,23.71,43.66
503,24.12,44.59
504,24.34,44.58
505,23.44,43.75
506,24.18,45.67
507,23.68,44.79
508,22.9,44.92
509,21.32,44.56
510,21.48,44.39
511,22.98,44.51
512,22.62,43.61
513,22.07,42.83
514,21.3,41.49
515,22.94,41.88
516,24.46,43.58
517,24.73,44.05
518,26.41,44.34
519,26.69,44.29
520,26.48,45.22
521,25.6,45.11
522,28.11,48.24
523,27.65,48.44
524,28.18,48.14
525,28.61,48.83
526,27.65,48.06
527,27.25,46.32
528,26.67,44.96
